"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"FOXP4";0,274072391640157;0,274688190708711;2,78710513703016;0,243323376343669;0,675443457572062
"PRPF6";-0,265168705032746;-0,265300988672674;4,82332263955897;0,243489473879441;0,675692574954395
"ZNF443";-0,269060546318528;-0,270403470472183;1,54475968748006;0,243514225164995;0,675692574954395
"PTPN22";-0,266301006967585;-0,266403902056387;5,12724455393739;0,243567297755186;0,675699564507227
"GCNT7";-0,303997500851268;-0,306251650254287;1,1337313492999;0,243712575373961;0,675856080942475
"VAC14";0,264692976923793;0,264776237353708;5,49992632174732;0,243724847384612;0,675856080942475
"RAB40B";-0,429616497947087;-0,445847573108189;-0,641953247116207;0,244010174808718;0,676506948038441
"OR52W1";-0,31432942046344;-0,316106521686702;1,42383665840555;0,244109906524084;0,676643096350251
"IL2RA";-0,265174990018475;-0,265600949939483;3,18126375080624;0,244410036508865;0,67714458481531
"LPCAT4";-0,264722732099617;-0,264943221781381;4,00959556505804;0,244429673184701;0,67714458481531
"CDC40";0,265185291242845;0,265250978177394;5,77578708876912;0,244444122720518;0,67714458481531
"CCDC66";-0,282754253451798;-0,282945589852285;4,36212253375791;0,244516334316393;0,67714458481531
"LOC654433";0,37924265945628;0,380407319186535;2,37916134353154;0,244579672217192;0,67714458481531
"SESN3";-0,278238696001176;-0,278272222523388;6,78255941623416;0,244625440170424;0,67714458481531
"GP6";-0,297574511559411;-0,298222328945988;2,78896875743472;0,244645458631837;0,67714458481531
"TNFRSF1A";-0,266350494960524;-0,266360964440532;8,74327639538204;0,244766944490124;0,677340575580744
"ALCAM";-0,265762101485488;-0,266137824496605;3,30167614546333;0,244821182669884;0,677350430048784
"AK4";-0,275402659198514;-0,276667959228696;2,0688722806627;0,244996051989874;0,677497559935384
"SH3KBP1";-0,264899070352408;-0,264966703614568;5,76975842410828;0,244998915212762;0,677497559935384
"EVI2A";0,316600595328182;0,316651155167853;6,55908209000663;0,245067891093279;0,677497559935384
"CHRNA2";-0,417746834621735;-0,421666326455017;0,764017622465976;0,245077113742898;0,677497559935384
"LOC100130855";-0,327784089597459;-0,333284109240366;0,07797756992275;0,245397237634957;0,678242241155674
"ZNF407";-0,263979376471623;-0,264133563952065;4,66054909917955;0,245498859428766;0,678382831326212
"ZNF517";-0,266646868871806;-0,267791780717469;1,74510166151706;0,245554137978026;0,678395330346072
"FANCB";-0,282813909746355;-0,284295802470607;1,67290205278159;0,245669686196667;0,678574297521111
"ATP6V0E2";-0,277065278429181;-0,277763566781009;2,45153066533118;0,245727639467249;0,678594138247779
"SPATA24";0,30526758497028;0,311480860499404;-0,172476314187426;0,245929047464162;0,678929438304684
"ZFP36";-0,266191217139481;-0,266205009922892;8,09575721210308;0,245974588036811;0,678929438304684
"ANKRD13D";-0,265606426104581;-0,265722066338754;5,0051014685047;0,246001441696063;0,678929438304684
"SGK494";-0,28903638981614;-0,291803468663917;0,678491285692938;0,246160887485415;0,679229236608188
"RHOT2";-0,264495953527306;-0,26460638121124;5,09829883426614;0,246272499747895;0,679396951832891
"KIFC2";-0,266844587404182;-0,267405100881294;2,68548677138435;0,246416593323993;0,679554905853185
"DENND6B";0,289062329602061;0,291265924771139;1,22078141110819;0,24643144012198;0,679554905853185
"UQCRB";-0,269714562668189;-0,269937586101323;4,0671333724118;0,246571451203072;0,679800746035532
"MRC2";-0,369090070840009;-0,375120783768353;0,15412333743717;0,246751060149601;0,6801345721012
"BCLAF1";-0,264276298025554;-0,264328917493447;6,19079471470891;0,24679430455565;0,6801345721012
"KRTAP12-2";0,834352322684811;0,894932678996313;-1,07273816587187;0,246876583930913;0,680221072113087
"SMYD3";-0,263801702488426;-0,264478297643426;2,55705564478292;0,24694532732732;0,680270248362935
"ANKRD18A";-0,286983969872358;-0,290004723948793;0,760550200991492;0,247129060066391;0,680522807248363
"SHMT2";-0,264034552233716;-0,264359710147909;3,51159523772068;0,247176076424394;0,680522807248363
"JAZF1";-0,26909295828375;-0,269135862609341;6,47577261333721;0,247189752296185;0,680522807248363
"MANSC1";-0,28480959629427;-0,284913318781055;5,06360056947658;0,247350371274453;0,680708688737455
"SFXN3";0,263705286221426;0,263853633067845;4,67772599728906;0,247359127726905;0,680708688737455
"ZNF652";-0,263715541823029;-0,263762586093193;6,22235705822852;0,247557566719917;0,681073011054906
"TXNRD3";-0,30909242673513;-0,313185694293245;0,337583867483756;0,247593428154705;0,681073011054906
"ADCY3";-0,264635765829218;-0,265151129019409;2,97200201044699;0,247677541589861;0,681164201829236
"AARS2";-0,263776131827879;-0,264338184356391;2,65481845052227;0,247855118030037;0,68144985874273
"FOCAD";-0,264019146454446;-0,264271606135054;3,87341320918872;0,24796152085669;0,68144985874273
"MAGIX";0,290064727482617;0,292636016533337;1,06122754969077;0,247979856694383;0,68144985874273
"AFF1";0,265360603162243;0,265385305853415;7,87001099548066;0,247985344375627;0,68144985874273
"LOC100505716";-0,336271060658166;-0,34369590328605;-0,0890169168969865;0,248168229409995;0,681590091361006
"COL7A1";-0,414153001237575;-0,427463175238916;-0,434102410510477;0,248252091953201;0,681590091361006
"ATN1";-0,263647687354941;-0,263837235041239;4,33891018171797;0,248348002164875;0,681590091361006
"FDX1L";-0,26448375958967;-0,265385470277563;2,1011584567419;0,248376422635847;0,681590091361006
"SLC26A8";-0,316794054477576;-0,317719178574732;2,73433262105223;0,248412037077795;0,681590091361006
"H6PD";-0,263943279659972;-0,264218639371474;3,83631370779813;0,248437569423616;0,681590091361006
"VAMP8";0,263668822211864;0,263719676975278;6,15221687493826;0,248439247688803;0,681590091361006
"TRABD";-0,26356747895905;-0,263611131376326;6,35137365388489;0,248464381764009;0,681590091361006
"ITPKB";-0,263497060909436;-0,263566402339065;5,7644742489446;0,248495325093684;0,681590091361006
"PFDN4";-0,387398909492364;-0,391554230886961;0,626072452955345;0,248552659271682;0,681590708367868
